dataset,puesto,variable,delta_r2,std
C,1,Promedio académico,0.10397805537710095,0.02905565271867869
C,2,Grado escolar,0.03797410365270889,0.014289642311154324
C,3,Municipio,0.02455829915772527,0.009390142793655985
C,4,Participó en olimpiadas,0.018745878247719068,0.01569622352212936
C,5,Gusto por la lógica,0.011735306915878508,0.014786026905289053
C,6,Tipo de institución,0.010362074639590683,0.005422769465513951
C,7,N.º de herramientas conocidas,0.005998804024535912,0.015587331463064822
C,8,Horas de estudio (mat.),0.004123042897377808,0.004153662754505582
C,9,Estrato,0.0019828911056490985,0.007408999443407282
C,10,Género,0.00036385055569804203,0.003527254524834186
C,11,Nivel de programación,0.00013532779499048075,0.0058718440630669624
C,12,Computador en casa,6.447203484561218e-05,0.0014865199378917007
C,13,Internet en casa,-7.332470875244246e-05,0.00010162916969430436
C,14,Nivel de robótica,-0.0009813112700176744,0.0019178108987193026
C,15,N.º de áreas de interés,-0.0020259853192892956,0.004910946790294178
C,16,Interés prog./robótica,-0.007625456463509839,0.004573957481406254
C,17,Motivación para participar,-0.008100306749455404,0.007182266651740956
C,18,Toma clases extra de mat.,-0.02314015517115399,0.008721145504025939
A,1,Municipio,0.0808913090194974,0.02143601967271688
A,2,Grado escolar,0.07170565967898276,0.018421103517316708
A,3,Tipo de institución,0.034021461084298286,0.01772467607707696
A,4,N.º de herramientas conocidas,0.03293660742924675,0.012330340656262598
A,5,N.º de áreas de interés,0.02796704899471086,0.011216804251507105
A,6,Interés prog./robótica,0.018805597689227294,0.009597585952807243
A,7,Género,0.010015247025083789,0.006289452229512665
A,8,Participó en olimpiadas,0.0076460981160534165,0.007414414012168275
A,9,Computador en casa,0.00355893570779963,0.00783260946572282
A,10,Estrato,0.002930304906529668,0.004908413636355543
A,11,Nivel de programación,0.0009999238699600547,0.006973221613363794
A,12,Nivel de robótica,8.041169254434285e-05,0.00152138482972291
A,13,Internet en casa,-0.0006865224975324787,0.0007569244110374603
